1 1.8584
2 1.7531
3 1.6893
4 1.6459
5 1.6000
6 1.5540
1 1.8534
2 1.7541
3 1.7358
4 1.6665
5 1.6105
6 1.5833
7 1.5631
8 1.5440
9 1.5268
10 1.5072
11 1.4892
12 1.4677
13 1.4448
14 1.4202
15 1.3968
16 1.3694
17 1.3436
18 1.3143
1 1.3063
2 1.2754
1 1.2558
2 1.2217
3 1.1986
4 1.1751
5 1.1544
6 1.1351
7 1.1213
8 1.1028
9 1.0906
10 1.0793
1 0.9580
2 0.9298
3 0.9231
4 0.9192
5 0.9202
6 0.9061
7 0.9148
8 0.9004

1 0.9095
2 0.8931
3 0.8931
4 0.8912
5 0.8956
6 0.8821
7 0.8877
8 0.8832
9 0.8830
10 0.8816
1 0.8823
2 0.8725
1 0.8793
2 0.8714
3 0.8728
1 0.8700
2 0.8671
3 0.8667
